date,hits,keyword,geo,time,gprop,category
2004 Jan,5,electric car,US,2004-01-01 2026-08-31,web,0
2004 Feb,6,electric car,US,2004-01-01 2026-08-31,web,0
2004 Mar,7,electric car,US,2004-01-01 2026-08-31,web,0
2004 Apr,8,electric car,US,2004-01-01 2026-08-31,web,0
2004 May,9,electric car,US,2004-01-01 2026-08-31,web,0
2004 Jun,7,electric car,US,2004-01-01 2026-08-31,web,0
2004 Jul,7,electric car,US,2004-01-01 2026-08-31,web,0
2004 Aug,6,electric car,US,2004-01-01 2026-08-31,web,0
2004 Sep,7,electric car,US,2004-01-01 2026-08-31,web,0
2004 Oct,6,electric car,US,2004-01-01 2026-08-31,web,0
2004 Nov,7,electric car,US,2004-01-01 2026-08-31,web,0
2004 Dec,7,electric car,US,2004-01-01 2026-08-31,web,0
2005 Jan,6,electric car,US,2004-01-01 2026-08-31,web,0
2005 Feb,5,electric car,US,2004-01-01 2026-08-31,web,0
2005 Mar,6,electric car,US,2004-01-01 2026-08-31,web,0
2005 Apr,8,electric car,US,2004-01-01 2026-08-31,web,0
2005 May,7,electric car,US,2004-01-01 2026-08-31,web,0
2005 Jun,6,electric car,US,2004-01-01 2026-08-31,web,0
2005 Jul,5,electric car,US,2004-01-01 2026-08-31,web,0
2005 Aug,10,electric car,US,2004-01-01 2026-08-31,web,0
2005 Sep,11,electric car,US,2004-01-01 2026-08-31,web,0
2005 Oct,7,electric car,US,2004-01-01 2026-08-31,web,0
2005 Nov,6,electric car,US,2004-01-01 2026-08-31,web,0
2005 Dec,6,electric car,US,2004-01-01 2026-08-31,web,0
2006 Jan,5,electric car,US,2004-01-01 2026-08-31,web,0
2006 Feb,5,electric car,US,2004-01-01 2026-08-31,web,0
2006 Mar,5,electric car,US,2004-01-01 2026-08-31,web,0
2006 Apr,10,electric car,US,2004-01-01 2026-08-31,web,0
2006 May,11,electric car,US,2004-01-01 2026-08-31,web,0
2006 Jun,12,electric car,US,2004-01-01 2026-08-31,web,0
2006 Jul,22,electric car,US,2004-01-01 2026-08-31,web,0
2006 Aug,21,electric car,US,2004-01-01 2026-08-31,web,0
2006 Sep,13,electric car,US,2004-01-01 2026-08-31,web,0
2006 Oct,10,electric car,US,2004-01-01 2026-08-31,web,0
2006 Nov,10,electric car,US,2004-01-01 2026-08-31,web,0
2006 Dec,11,electric car,US,2004-01-01 2026-08-31,web,0
2007 Jan,12,electric car,US,2004-01-01 2026-08-31,web,0
2007 Feb,12,electric car,US,2004-01-01 2026-08-31,web,0
2007 Mar,12,electric car,US,2004-01-01 2026-08-31,web,0
2007 Apr,14,electric car,US,2004-01-01 2026-08-31,web,0
2007 May,17,electric car,US,2004-01-01 2026-08-31,web,0
2007 Jun,14,electric car,US,2004-01-01 2026-08-31,web,0
2007 Jul,12,electric car,US,2004-01-01 2026-08-31,web,0
2007 Aug,11,electric car,US,2004-01-01 2026-08-31,web,0
2007 Sep,12,electric car,US,2004-01-01 2026-08-31,web,0
2007 Oct,11,electric car,US,2004-01-01 2026-08-31,web,0
2007 Nov,15,electric car,US,2004-01-01 2026-08-31,web,0
2007 Dec,13,electric car,US,2004-01-01 2026-08-31,web,0
2008 Jan,12,electric car,US,2004-01-01 2026-08-31,web,0
2008 Feb,11,electric car,US,2004-01-01 2026-08-31,web,0
2008 Mar,15,electric car,US,2004-01-01 2026-08-31,web,0
2008 Apr,19,electric car,US,2004-01-01 2026-08-31,web,0
2008 May,32,electric car,US,2004-01-01 2026-08-31,web,0
2008 Jun,36,electric car,US,2004-01-01 2026-08-31,web,0
2008 Jul,32,electric car,US,2004-01-01 2026-08-31,web,0
2008 Aug,18,electric car,US,2004-01-01 2026-08-31,web,0
2008 Sep,15,electric car,US,2004-01-01 2026-08-31,web,0
2008 Oct,13,electric car,US,2004-01-01 2026-08-31,web,0
2008 Nov,14,electric car,US,2004-01-01 2026-08-31,web,0
2008 Dec,13,electric car,US,2004-01-01 2026-08-31,web,0
2009 Jan,11,electric car,US,2004-01-01 2026-08-31,web,0
2009 Feb,10,electric car,US,2004-01-01 2026-08-31,web,0
2009 Mar,11,electric car,US,2004-01-01 2026-08-31,web,0
2009 Apr,13,electric car,US,2004-01-01 2026-08-31,web,0
2009 May,11,electric car,US,2004-01-01 2026-08-31,web,0
2009 Jun,11,electric car,US,2004-01-01 2026-08-31,web,0
2009 Jul,9,electric car,US,2004-01-01 2026-08-31,web,0
2009 Aug,12,electric car,US,2004-01-01 2026-08-31,web,0
2009 Sep,10,electric car,US,2004-01-01 2026-08-31,web,0
2009 Oct,10,electric car,US,2004-01-01 2026-08-31,web,0
2009 Nov,11,electric car,US,2004-01-01 2026-08-31,web,0
2009 Dec,11,electric car,US,2004-01-01 2026-08-31,web,0
2010 Jan,9,electric car,US,2004-01-01 2026-08-31,web,0
2010 Feb,11,electric car,US,2004-01-01 2026-08-31,web,0
2010 Mar,9,electric car,US,2004-01-01 2026-08-31,web,0
2010 Apr,11,electric car,US,2004-01-01 2026-08-31,web,0
2010 May,10,electric car,US,2004-01-01 2026-08-31,web,0
2010 Jun,9,electric car,US,2004-01-01 2026-08-31,web,0
2010 Jul,9,electric car,US,2004-01-01 2026-08-31,web,0
2010 Aug,8,electric car,US,2004-01-01 2026-08-31,web,0
2010 Sep,8,electric car,US,2004-01-01 2026-08-31,web,0
2010 Oct,9,electric car,US,2004-01-01 2026-08-31,web,0
2010 Nov,10,electric car,US,2004-01-01 2026-08-31,web,0
2010 Dec,9,electric car,US,2004-01-01 2026-08-31,web,0
2011 Jan,12,electric car,US,2004-01-01 2026-08-31,web,0
2011 Feb,10,electric car,US,2004-01-01 2026-08-31,web,0
2011 Mar,12,electric car,US,2004-01-01 2026-08-31,web,0
2011 Apr,13,electric car,US,2004-01-01 2026-08-31,web,0
2011 May,11,electric car,US,2004-01-01 2026-08-31,web,0
2011 Jun,10,electric car,US,2004-01-01 2026-08-31,web,0
2011 Jul,8,electric car,US,2004-01-01 2026-08-31,web,0
2011 Aug,7,electric car,US,2004-01-01 2026-08-31,web,0
2011 Sep,9,electric car,US,2004-01-01 2026-08-31,web,0
2011 Oct,12,electric car,US,2004-01-01 2026-08-31,web,0
2011 Nov,11,electric car,US,2004-01-01 2026-08-31,web,0
2011 Dec,10,electric car,US,2004-01-01 2026-08-31,web,0
2012 Jan,10,electric car,US,2004-01-01 2026-08-31,web,0
2012 Feb,11,electric car,US,2004-01-01 2026-08-31,web,0
2012 Mar,13,electric car,US,2004-01-01 2026-08-31,web,0
2012 Apr,11,electric car,US,2004-01-01 2026-08-31,web,0
2012 May,10,electric car,US,2004-01-01 2026-08-31,web,0
2012 Jun,9,electric car,US,2004-01-01 2026-08-31,web,0
2012 Jul,9,electric car,US,2004-01-01 2026-08-31,web,0
2012 Aug,8,electric car,US,2004-01-01 2026-08-31,web,0
2012 Sep,9,electric car,US,2004-01-01 2026-08-31,web,0
2012 Oct,10,electric car,US,2004-01-01 2026-08-31,web,0
2012 Nov,10,electric car,US,2004-01-01 2026-08-31,web,0
2012 Dec,8,electric car,US,2004-01-01 2026-08-31,web,0
2013 Jan,8,electric car,US,2004-01-01 2026-08-31,web,0
2013 Feb,9,electric car,US,2004-01-01 2026-08-31,web,0
2013 Mar,9,electric car,US,2004-01-01 2026-08-31,web,0
2013 Apr,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 May,11,electric car,US,2004-01-01 2026-08-31,web,0
2013 Jun,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Jul,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Aug,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Sep,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Oct,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Nov,10,electric car,US,2004-01-01 2026-08-31,web,0
2013 Dec,10,electric car,US,2004-01-01 2026-08-31,web,0
